method,variant,n_expected,n_ok,success_rate,success_ci_low,success_ci_high,macro_state_f1,critical_errors,input_tokens
ehc,all,48,48,0.6875,0.5466666274950367,0.800544878322685,0.6128472222222222,1.4791666666666667,6830.4375
ehc,denied,12,12,0.25,0.08894003962896138,0.53231033912066,0.6076388888888888,1.5,9120.833333333334
ehc,granted,12,12,0.75,0.46768966087934005,0.9110599603710386,0.6180555555555556,1.5,5275.166666666667
ehc,stale,12,12,0.75,0.46768966087934005,0.9110599603710386,0.5763888888888888,1.5833333333333333,6950.25
ehc,unknown,12,12,1.0,0.7574992425007574,1.0,0.6493055555555556,1.3333333333333333,5975.5
free_summary,all,48,46,0.4791666666666667,0.34471090015787464,0.6167100436401562,0.11475694444444444,3.625,6582.369565217391
free_summary,denied,12,11,0.25,0.08894003962896138,0.53231033912066,0.11944444444444444,3.5833333333333335,7484
free_summary,granted,12,12,0.3333333333333333,0.13811783989736134,0.609382412602386,0.05138888888888889,3.8333333333333335,6926
free_summary,stale,12,12,0.5,0.2537781703934222,0.7462218296065778,0.034722222222222224,4,7115.416666666667
free_summary,unknown,12,11,0.8333333333333334,0.5519636426153274,0.9530358523851776,0.2534722222222222,3.0833333333333335,4724.363636363636
full_history,all,48,48,0.9166666666666666,0.8044643483893369,0.9671167756500444,0.44027777777777777,1.9791666666666667,3498.1458333333335
full_history,denied,12,12,0.8333333333333334,0.5519636426153274,0.9530358523851776,0.43402777777777773,2,2977.9166666666665
full_history,granted,12,12,1.0,0.7574992425007574,1.0,0.4194444444444444,2,1971.6666666666667
full_history,stale,12,12,0.8333333333333334,0.5519636426153274,0.9530358523851776,0.3798611111111111,2.25,4804.083333333333
full_history,unknown,12,12,1.0,0.7574992425007574,1.0,0.5277777777777778,1.6666666666666667,4238.916666666667
gold_oracle,all,48,48,0.9375,0.8316430233725778,0.9785171568687727,0.9842013888888889,0.0625,3441.0208333333335
gold_oracle,denied,12,12,1.0,0.7574992425007574,1.0,1.0,0,2000.3333333333333
gold_oracle,granted,12,12,1.0,0.7574992425007574,1.0,0.9472222222222222,0.16666666666666666,2000.3333333333333
gold_oracle,stale,12,12,0.75,0.46768966087934005,0.9110599603710386,0.9895833333333334,0.08333333333333333,5658.833333333333
gold_oracle,unknown,12,12,1.0,0.7574992425007574,1.0,1.0,0,4104.583333333333
structured_payload,all,48,48,0.75,0.6121535625207293,0.8507951119028996,0.5310763888888889,1.6666666666666667,5161.4375
structured_payload,denied,12,12,0.5,0.2537781703934222,0.7462218296065778,0.517361111111111,1.75,5846.083333333333
structured_payload,granted,12,12,0.9166666666666666,0.6461140782014047,0.9851352905492264,0.4611111111111111,1.9166666666666667,3116.5
structured_payload,stale,12,12,0.6666666666666666,0.3906175873976139,0.8618821601026385,0.517361111111111,1.75,6601.75
structured_payload,unknown,12,12,0.9166666666666666,0.6461140782014047,0.9851352905492264,0.6284722222222222,1.25,5081.416666666667
