task_id,model,seed,free_form__absent__absent__advisory.strict_success,free_form__absent__absent__advisory.macro_state_f1,free_form__absent__absent__advisory.critical_errors,free_form__absent__absent__advisory.input_tokens,free_form__absent__executable__advisory.strict_success,free_form__absent__executable__advisory.macro_state_f1,free_form__absent__executable__advisory.critical_errors,free_form__absent__executable__advisory.input_tokens,free_form__trace_linked__absent__advisory.strict_success,free_form__trace_linked__absent__advisory.macro_state_f1,free_form__trace_linked__absent__advisory.critical_errors,free_form__trace_linked__absent__advisory.input_tokens,free_form__trace_linked__executable__advisory.strict_success,free_form__trace_linked__executable__advisory.macro_state_f1,free_form__trace_linked__executable__advisory.critical_errors,free_form__trace_linked__executable__advisory.input_tokens,typed__absent__absent__advisory.strict_success,typed__absent__absent__advisory.macro_state_f1,typed__absent__absent__advisory.critical_errors,typed__absent__absent__advisory.input_tokens,typed__absent__executable__advisory.strict_success,typed__absent__executable__advisory.macro_state_f1,typed__absent__executable__advisory.critical_errors,typed__absent__executable__advisory.input_tokens,typed__trace_linked__absent__advisory.strict_success,typed__trace_linked__absent__advisory.macro_state_f1,typed__trace_linked__absent__advisory.critical_errors,typed__trace_linked__absent__advisory.input_tokens,typed__trace_linked__executable__advisory.strict_success,typed__trace_linked__executable__advisory.macro_state_f1,typed__trace_linked__executable__advisory.critical_errors,typed__trace_linked__executable__advisory.input_tokens
cf_travel_01_denied,qwen2.5-14b,303,0,0.75,1,8924,0,0.75,1,9044,0,0.75,1,9640,0,0.75,1,9694,0,0.75,1,8862,0,0.75,1,8988,0,0.75,1,9584,0,0.75,1,9680
cf_travel_01_granted,qwen2.5-14b,303,1,0.75,1,2499,1,0.75,1,2535,1,0.75,1,2662,1,0.75,1,2698,1,0.75,1,2487,1,0.75,1,2523,1,0.75,1,2650,1,0.75,1,2686
cf_travel_01_stale,qwen2.5-14b,303,0,0.75,1,8816,0,0.75,1,8966,0,0.75,1,9592,0,0.75,1,9736,0,0.75,1,8774,0,0.75,1,8918,0,0.75,1,9550,0,0.75,1,9706
cf_travel_01_unknown,qwen2.5-14b,303,1,0.75,1,4553,1,0.75,1,4623,1,0.75,1,4881,1,0.75,1,4951,1,0.75,1,4529,1,0.75,1,4599,1,0.75,1,4857,1,0.75,1,4927
cf_travel_02_denied,qwen2.5-14b,303,0,0.6666666666666666,1,8745,0,0.6666666666666666,1,8887,0,0.6666666666666666,1,9465,0,0.6666666666666666,1,9661,0,0.6666666666666666,1,8647,0,0.6666666666666666,1,8915,0,0.6666666666666666,1,9409,0,0,4,
cf_travel_02_granted,qwen2.5-14b,303,1,0.6666666666666666,1,2485,1,0.6666666666666666,1,2519,1,0.6666666666666666,1,2649,1,0.6666666666666666,1,2683,1,0.6666666666666666,1,2469,1,0.6666666666666666,1,2503,1,0.6666666666666666,1,2633,1,0.6666666666666666,1,2667
cf_travel_02_stale,qwen2.5-14b,303,1,0.6666666666666666,1,4560,1,0.6666666666666666,1,4621,1,0.6666666666666666,1,5018,1,0.6666666666666666,1,5083,1,0.6666666666666666,1,4538,1,0.6666666666666666,1,4600,1,0.6666666666666666,1,4996,1,0.6666666666666666,1,5051
cf_travel_02_unknown,qwen2.5-14b,303,1,1.0,0,4513,1,1.0,0,4579,1,1.0,0,4841,1,1.0,0,4907,1,1.0,0,4489,1,1.0,0,4555,1,1.0,0,4817,1,1.0,0,4883
cf_travel_03_denied,qwen2.5-14b,303,0,0.75,1,8716,1,0.75,1,2508,0,0.75,1,9223,0,0.75,1,9384,0,0.75,1,8691,0,0.75,1,8816,0,0.75,1,9210,0,0.75,1,9320
cf_travel_03_granted,qwen2.5-14b,303,1,0.6666666666666666,1,2470,1,0.75,1,2508,1,0.75,1,2602,1,0.75,1,2640,1,0.75,1,2454,1,0.75,1,2492,1,0.75,1,2586,1,0.75,1,2624
cf_travel_03_stale,qwen2.5-14b,303,1,0.75,1,4509,1,0.75,1,4582,1,0.75,1,4807,1,0.75,1,4875,1,0.75,1,4476,1,0.75,1,4550,1,0.75,1,4775,1,0.75,1,4843
cf_travel_03_unknown,qwen2.5-14b,303,1,1.0,0,4528,1,1.0,0,4602,1,1.0,0,4863,1,1.0,0,4934,1,1.0,0,4501,1,1.0,0,4577,1,1.0,0,4839,1,1.0,0,4910
cf_travel_04_denied,qwen2.5-14b,303,0,0.625,2,8746,1,0.625,2,4578,0,0,5,,0,0.625,2,9844,0,0.625,2,8690,1,0.625,2,2511,0,0.625,2,9616,0,0.625,2,9884
cf_travel_04_granted,qwen2.5-14b,303,1,0.6,2,2492,1,0.5833333333333334,2,2526,1,0.625,2,2721,1,0.625,2,2755,1,0.5833333333333334,2,2476,1,0.5833333333333334,2,2510,1,0.625,2,2705,1,0.625,2,2739
cf_travel_04_stale,qwen2.5-14b,303,1,0.625,2,4561,1,0.625,2,4628,1,0.625,2,5119,1,0.625,2,5185,1,0.625,2,4543,1,0.625,2,4608,1,0.625,2,5099,1,0.625,2,5164
cf_travel_04_unknown,qwen2.5-14b,303,1,0.875,1,4522,1,0.875,1,4585,1,0.875,1,4948,1,0.875,1,5011,1,0.875,1,4497,1,0.875,1,4563,1,0.875,1,4923,1,0.875,1,4989
cf_travel_05_denied,qwen2.5-14b,303,0,0.75,1,8754,0,0.75,1,8890,0,0,4,,0,0.75,1,9553,0,0.75,1,8706,0,0.75,1,8840,0,0.75,1,9376,0,0.75,1,9482
cf_travel_05_granted,qwen2.5-14b,303,1,0.6666666666666666,1,2478,1,0.6666666666666666,1,2512,1,0.6666666666666666,1,2643,1,0.6666666666666666,1,2677,1,0.6666666666666666,1,2462,1,0.6666666666666666,1,2496,1,0.6666666666666666,1,2627,1,0.6666666666666666,1,2661
cf_travel_05_stale,qwen2.5-14b,303,0,0.75,1,8890,0,0.75,1,9109,0,0.75,1,9706,1,0.75,1,9665,0,0.75,1,8724,1,0.75,1,6653,1,0.75,1,7098,1,0.75,1,7193
