task_id,method,seed,model,status,strict_success,macro_state_f1,critical_errors,input_tokens
cf_travel_05_denied,free_form__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.75,1,8754
cf_travel_05_denied,free_form__absent__executable__advisory,303,qwen2.5-14b,ok,0,0.75,1,8890
cf_travel_05_denied,typed__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.75,1,9482
cf_travel_05_denied,typed__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.75,1,8706
cf_travel_05_denied,free_form__trace_linked__absent__advisory,303,qwen2.5-14b,error,0,0,4,
cf_travel_05_denied,typed__trace_linked__absent__advisory,303,qwen2.5-14b,ok,0,0.75,1,9376
cf_travel_05_denied,typed__absent__executable__advisory,303,qwen2.5-14b,ok,0,0.75,1,8840
cf_travel_05_denied,free_form__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.75,1,9553
cf_travel_06_denied,free_form__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.75,1,8737
cf_travel_06_denied,free_form__absent__executable__advisory,303,qwen2.5-14b,ok,1,0.75,1,2507
cf_travel_06_denied,typed__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.75,1,9463
cf_travel_06_denied,typed__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.75,1,8845
cf_travel_06_denied,free_form__trace_linked__absent__advisory,303,qwen2.5-14b,ok,0,0.75,1,9355
cf_travel_06_denied,typed__trace_linked__absent__advisory,303,qwen2.5-14b,ok,0,0.75,1,9289
cf_travel_06_denied,typed__absent__executable__advisory,303,qwen2.5-14b,ok,1,0.75,1,2492
cf_travel_06_denied,free_form__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.75,1,9526
cf_travel_05_unknown,free_form__absent__absent__advisory,303,qwen2.5-14b,ok,1,1.0,0,4510
cf_travel_05_unknown,free_form__absent__executable__advisory,303,qwen2.5-14b,ok,1,1.0,0,4580
cf_travel_05_unknown,typed__trace_linked__executable__advisory,303,qwen2.5-14b,ok,1,1.0,0,4886
cf_travel_05_unknown,typed__absent__absent__advisory,303,qwen2.5-14b,ok,1,1.0,0,4486
cf_travel_05_unknown,free_form__trace_linked__absent__advisory,303,qwen2.5-14b,ok,1,1.0,0,4840
cf_travel_05_unknown,typed__trace_linked__absent__advisory,303,qwen2.5-14b,ok,1,1.0,0,4816
cf_travel_05_unknown,typed__absent__executable__advisory,303,qwen2.5-14b,ok,1,1.0,0,4559
cf_travel_05_unknown,free_form__trace_linked__executable__advisory,303,qwen2.5-14b,ok,1,1.0,0,4910
cf_travel_06_stale,free_form__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,8874
cf_travel_06_stale,free_form__absent__executable__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,9000
cf_travel_06_stale,typed__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,9906
cf_travel_06_stale,typed__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,8816
cf_travel_06_stale,free_form__trace_linked__absent__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,9824
cf_travel_06_stale,typed__trace_linked__absent__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,9772
cf_travel_06_stale,typed__absent__executable__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,8962
cf_travel_06_stale,free_form__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.41666666666666663,2,9950
cf_travel_04_denied,free_form__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.625,2,8746
cf_travel_04_denied,free_form__absent__executable__advisory,303,qwen2.5-14b,ok,1,0.625,2,4578
cf_travel_04_denied,typed__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.625,2,9884
cf_travel_04_denied,typed__absent__absent__advisory,303,qwen2.5-14b,ok,0,0.625,2,8690
cf_travel_04_denied,free_form__trace_linked__absent__advisory,303,qwen2.5-14b,error,0,0,5,
cf_travel_04_denied,typed__trace_linked__absent__advisory,303,qwen2.5-14b,ok,0,0.625,2,9616
cf_travel_04_denied,typed__absent__executable__advisory,303,qwen2.5-14b,ok,1,0.625,2,2511
cf_travel_04_denied,free_form__trace_linked__executable__advisory,303,qwen2.5-14b,ok,0,0.625,2,9844
cf_travel_03_granted,free_form__absent__absent__advisory,303,qwen2.5-14b,ok,1,0.6666666666666666,1,2470
