task_id,model,seed,free_form__absent__absent__advisory.strict_success,free_form__absent__absent__advisory.macro_state_f1,free_form__absent__absent__advisory.critical_errors,free_form__absent__absent__advisory.input_tokens,free_form__absent__executable__advisory.strict_success,free_form__absent__executable__advisory.macro_state_f1,free_form__absent__executable__advisory.critical_errors,free_form__absent__executable__advisory.input_tokens,free_form__trace_linked__absent__advisory.strict_success,free_form__trace_linked__absent__advisory.macro_state_f1,free_form__trace_linked__absent__advisory.critical_errors,free_form__trace_linked__absent__advisory.input_tokens,free_form__trace_linked__executable__advisory.strict_success,free_form__trace_linked__executable__advisory.macro_state_f1,free_form__trace_linked__executable__advisory.critical_errors,free_form__trace_linked__executable__advisory.input_tokens,typed__absent__absent__advisory.strict_success,typed__absent__absent__advisory.macro_state_f1,typed__absent__absent__advisory.critical_errors,typed__absent__absent__advisory.input_tokens,typed__absent__executable__advisory.strict_success,typed__absent__executable__advisory.macro_state_f1,typed__absent__executable__advisory.critical_errors,typed__absent__executable__advisory.input_tokens,typed__trace_linked__absent__advisory.strict_success,typed__trace_linked__absent__advisory.macro_state_f1,typed__trace_linked__absent__advisory.critical_errors,typed__trace_linked__absent__advisory.input_tokens,typed__trace_linked__executable__advisory.strict_success,typed__trace_linked__executable__advisory.macro_state_f1,typed__trace_linked__executable__advisory.critical_errors,typed__trace_linked__executable__advisory.input_tokens
cf_travel_01_denied,ministral3-14b-2512,404,0,0.41666666666666663,2,10065,0,0.41666666666666663,2,10113,0,0.41666666666666663,2,11273,0,0.41666666666666663,2,11399,0,0.41666666666666663,2,10006,0,0.41666666666666663,2,10221,0,0.41666666666666663,2,11228,0,0.41666666666666663,2,11413
cf_travel_01_granted,ministral3-14b-2512,404,0,0.41666666666666663,2,9887,0,0.41666666666666663,2,10000,0,0.41666666666666663,2,10720,0,0.41666666666666663,2,10813,0,0.41666666666666663,2,9922,0,0.41666666666666663,2,10105,0,0.41666666666666663,2,10682,0,0.41666666666666663,2,10828
cf_travel_01_stale,ministral3-14b-2512,404,1,0.41666666666666663,2,5002,1,0.41666666666666663,2,5065,1,0.41666666666666663,2,5412,1,0.41666666666666663,2,5488,1,0.41666666666666663,2,4992,1,0.41666666666666663,2,5068,1,0.41666666666666663,2,5393,1,0.41666666666666663,2,5466
cf_travel_01_unknown,ministral3-14b-2512,404,1,0.41666666666666663,2,4972,1,0.41666666666666663,2,5026,1,0.41666666666666663,2,5247,1,0.41666666666666663,2,5313,1,0.41666666666666663,2,4945,1,0.41666666666666663,2,4997,1,0.41666666666666663,2,5224,1,0.41666666666666663,2,5300
cf_travel_02_denied,ministral3-14b-2512,404,0,0.41666666666666663,2,9664,1,0.41666666666666663,2,2693,0,0.41666666666666663,2,10297,0,0.41666666666666663,2,10535,0,0.41666666666666663,2,9557,1,0.41666666666666663,2,2681,0,0.41666666666666663,2,10415,0,0.41666666666666663,2,10553
cf_travel_02_granted,ministral3-14b-2512,404,1,0.41666666666666663,2,2653,1,0.41666666666666663,2,2691,1,0.41666666666666663,2,2790,1,0.41666666666666663,2,2828,1,0.41666666666666663,2,2637,1,0.41666666666666663,2,2675,1,0.41666666666666663,2,2774,1,0.41666666666666663,2,2812
cf_travel_02_stale,ministral3-14b-2512,404,1,0.41666666666666663,2,4896,1,0.41666666666666663,2,7379,0,0.41666666666666663,2,10451,1,0.41666666666666663,2,7888,1,0.41666666666666663,2,4873,1,0.41666666666666663,2,7322,0,0.41666666666666663,2,10599,1,0.41666666666666663,2,7894
cf_travel_02_unknown,ministral3-14b-2512,404,1,0.6666666666666666,1,4878,1,0.6666666666666666,1,4952,1,0.6666666666666666,1,5170,1,0.6666666666666666,1,5230,1,0.6666666666666666,1,4847,1,0.6666666666666666,1,4919,1,0.6666666666666666,1,5118,1,0.6666666666666666,1,5214
cf_travel_03_denied,ministral3-14b-2512,404,0,0.41666666666666663,2,9647,0,0.41666666666666663,2,10004,0,0.41666666666666663,2,10366,0,0.41666666666666663,2,10595,0,0.41666666666666663,2,9746,1,0.41666666666666663,2,4941,0,0.41666666666666663,2,10380,0,0.41666666666666663,2,10520
cf_travel_03_granted,ministral3-14b-2512,404,1,0.3333333333333333,2,2653,1,0.41666666666666663,2,2695,1,0.41666666666666663,2,2792,1,0.41666666666666663,2,2834,1,0.41666666666666663,2,2637,1,0.3333333333333333,2,2679,1,0.41666666666666663,2,2776,1,0.41666666666666663,2,2818
